31937,2020-12-07,15.9,1,1
24209,2020-12-07,32.9,1,1
26574,2020-12-07,12.9,1,1
31915,2020-12-07,32.8,2,2
25770,2020-12-07,12.9,1,1
24529,2020-12-07,21.9,1,1
28514,2020-12-07,19.9,1,1
25564,2020-12-08,70.5,3,5
31937,2020-12-08,332.6,2,4
29910,2020-12-08,35.9,1,1
28918,2020-12-08,11.9,1,1
12868,2020-12-08,25.9,1,1
31913,2020-12-08,24.9,1,1
12855,2020-12-09,17.9,1,1
29910,2020-12-09,21.9,1,1
31954,2020-12-09,233.9,1,1
31871,2020-12-09,26.8,2,2
24050,2020-12-09,16.9,1,1
31946,2020-12-09,16.9,1,1
31941,2020-12-09,24.9,1,1
29479,2020-12-09,25.9,1,1
31871,2020-12-10,12.9,1,1
12285,2020-12-10,103.8,1,2
31937,2020-12-10,15.9,1,1
24622,2020-12-10,19.9,1,1
25564,2020-12-10,14.9,1,1
25770,2020-12-11,9.9,1,1
24537,2020-12-11,599.9,1,1
24136,2020-12-11,15.9,1,1
24050,2020-12-11,33.8,2,2
26575,2020-12-11,16.9,1,1
31941,2020-12-12,33.8,2,2
24209,2020-12-12,14.9,1,1
29479,2020-12-12,17.9,1,1
31913,2020-12-12,39.9,1,1
12484,2020-12-12,38.9,1,1
