,Unnamed: 0,Zeitraum vom: 06.12.2019 bis:  06.12.2019,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,,,,,
2,LS NR,,Sendreferenz NR,Frachtführer,BESTELL NR
3,32334454,,1Z3969A26890791486,UPS,2616642
4,32334455,,1Z3969A26891477298,UPS,2616652
5,32334522,,1Z3969A26899791835,UPS,2617243
6,32334523,,1Z3969A26896743848,UPS,2617232
7,32334543,,1Z3969A26896576010,UPS,2617260
8,32334544,,1Z3969A26898216020,UPS,2617277
9,32334546,,1Z3969A26895936061,UPS,2617265
10,32334561,,1Z3969A26893223825,UPS,2617297
11,32334591,,1Z3969A26891643894,UPS,2617306
12,32334592,,1Z3969A26890402306,UPS,BMP150420088
13,32334593,,1Z3969A26891393315,UPS,2617334
14,32334594,,1Z3969A26894652922,UPS,BMP150420082
15,32334600,,1Z3969A26897656413,UPS,2617340
