,Unnamed: 0,Zeitraum vom: 31.01.2020 bis:  31.01.2020,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,,,,,
2,LS NR,,Sendreferenz NR,Frachtführer,BESTELL NR
3,32340975,,1Z3969A26895209721,UPS,2640771
4,32340976,,1Z3969A26895785733,UPS,2640837
5,32340978,,1Z3969A26897385751,UPS,2640770
6,32340981,,1Z3969A26899905784,UPS,2640802
7,32341037,,1Z3969A26899946132,UPS,BMP151280049
8,32341038,,1Z3969A26898778147,UPS,2641171
9,32341048,,1Z3969A26897978245,UPS,2641151
10,32341060,,1Z3969A26897170429,UPS,2641192
11,32341080,,1Z3969A26893933497,UPS,2641223
12,32341081,,1Z3969A26891747906,UPS,2641239
13,32341088,,1Z3969A26893857570,UPS,2641241
14,32341090,,1Z3969A26893864599,UPS,2641230
