,Unnamed: 0,Zeitraum vom: 09.12.2019 bis:  09.12.2019,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,,,,,
2,LS NR,,Sendreferenz NR,Frachtführer,BESTELL NR
3,32334673,,1Z3969A26890887525,UPS,2617700
4,32334686,,1Z3969A26890993053,UPS,2617749
5,32334736,,1Z3969A26894928554,UPS,BMP150420096
6,32334739,,1Z3969A26891928381,UPS,2618147
7,32334741,,1Z3969A26896192658,UPS,BMP150440091
8,32334756,,1Z3969A26894804606,UPS,2618141
9,32334762,,1Z3969A26891767662,UPS,2618137
10,32334779,,1Z3969A26891501706,UPS,2618189
11,32334796,,1Z3969A26892626473,UPS,BMP150440122
12,32334809,,1Z3969A26897816964,UPS,2618223
13,32334823,,1Z3969A26898913106,UPS,BMP150420114
