,Unnamed: 0,Zeitraum vom: 17.01.2020 bis:  17.01.2020,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,,,,,
2,LS NR,,Sendreferenz NR,Frachtführer,BESTELL NR
3,32339298,,1Z3969A26895480820,UPS,2636060
4,32339299,,1Z3969A26899816835,UPS,2636097
5,32339301,,1Z3969A26896936854,UPS,2636114
6,32339302,,1Z3969A26895920863,UPS,2635901
7,32339348,,1Z3969A26899521126,UPS,2636239
8,32339365,,1Z3969A26894566481,UPS,2636323
9,32339366,,1Z3969A26895881165,UPS,BMP150980036
10,32339381,,1Z3969A26897969246,UPS,2636351
11,32339385,,1Z3969A26898777255,UPS,2636389
