,Unnamed: 0,Zeitraum vom: 28.11.2019 bis:  28.11.2019,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,,,,,
2,LS NR,,Sendreferenz NR,Frachtführer,BESTELL NR
3,32333404,,1Z3969A26897737344,UPS,2611206
4,32333409,,1Z3969A26895737393,UPS,2611342
5,32333530,,1Z3969A26891922136,UPS,BMP150200062
6,32333540,,1Z3969A26897026059,UPS,2611711
7,32333598,,1Z3969A26899506385,UPS,2611826
8,32333600,,1Z3969A26896186405,UPS,2611791
9,32333608,,1Z3969A26894987482,UPS,2611909
10,32333623,,1Z3969A26896810524,UPS,2611906
11,32333625,,1Z3969A26892896753,UPS,2611963
