,Unnamed: 0,Zeitraum vom: 22.01.2020 bis:  22.01.2020,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,,,,,
2,LS NR,,Sendreferenz NR,Frachtführer,BESTELL NR
3,32339786,,1Z3969A26899619156,UPS,2637437
4,32339791,,1Z3969A26892534367,UPS,2637498
5,32339863,,1Z3969A26897379508,UPS,2637718
6,32339888,,1Z3969A26897771646,UPS,2637731
7,32339897,,1Z3969A26891893623,UPS,2637760
8,32339901,,1Z3969A26895171691,UPS,2637772
9,32339905,,1Z3969A26891486644,UPS,2637773
10,32339907,,1Z3969A26893666062,UPS,2637770
11,32339909,,1Z3969A26893479881,UPS,2637774
12,32339954,,1Z3969A26891028871,UPS,2637836
13,32339956,,1Z3969A26894151893,UPS,2637850
