,Unnamed: 0,Zeitraum vom: 27.11.2019 bis:  27.11.2019,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,,,,,
2,LS NR,,Sendreferenz NR,Frachtführer,BESTELL NR
3,32333239,,1Z3969A26891251549,UPS,2610845
4,32333240,,1Z3969A26892588952,UPS,2610850
5,32333250,,1Z3969A26893396050,UPS,2609284
6,32333273,,1Z3969A26894177893,UPS,BMP150260021
7,32333343,,1Z3969A26895568978,UPS,2611162
8,32333356,,1Z3969A26891331551,UPS,BMP150300004
9,32333375,,1Z3969A26892471381,UPS,2611196
10,32333386,,1Z3969A26895009214,UPS,BMP150300012
