,Unnamed: 0,Zeitraum vom: 28.01.2020 bis:  28.01.2020,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,,,,,
2,LS NR,,Sendreferenz NR,Frachtführer,BESTELL NR
3,32340453,,1Z3969A26893976094,UPS,2639367
4,32340454,,1Z3969A26893426508,UPS,2639360
5,32340460,,1Z3969A26890993562,UPS,2639343
6,32340464,,1Z3969A26892263605,UPS,2639311
7,32340509,,1Z3969A26897983006,UPS,2637498
8,32340523,,1Z3969A26891428420,UPS,BMP151200003
9,32340525,,1Z3969A26893957444,UPS,2639611
10,32340527,,1Z3969A26896943104,UPS,BMP151160011
11,32340535,,1Z3969A26897023150,UPS,2639256
12,32340548,,1Z3969A26894845965,UPS,2639656
13,32340549,,1Z3969A26892384574,UPS,2639642
14,32340551,,1Z3969A26893031596,UPS,2639659
15,32340552,,1Z3969A26890212002,UPS,2639678
