,Unnamed: 0,Zeitraum vom: 26.11.2019 bis:  26.11.2019,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,,,,,
2,LS NR,,Sendreferenz NR,Frachtführer,BESTELL NR
3,32333110,,1Z3969A26897183906,UPS,2610383
4,32333124,,1Z3969A26890515926,UPS,2609472
5,32333125,,1Z3969A26894220139,UPS,2609503
6,32333131,,1Z3969A26893737995,UPS,2609566
7,32333160,,1Z3969A26898184083,UPS,BMP150220019
8,32333188,,1Z3969A26899264280,UPS,2610732
9,32333189,,1Z3969A26897136298,UPS,BMP150260015
10,32333190,,1Z3969A26895224302,UPS,BMP150280006
11,32333200,,1Z3969A26891345439,UPS,2609284
