,Unnamed: 0,Zeitraum vom: 21.01.2020 bis:  21.01.2020,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,,,,,
2,LS NR,,Sendreferenz NR,Frachtführer,BESTELL NR
3,32339665,,1Z3969A26892566841,UPS,2637112
4,32339685,,1Z3969A26892849358,UPS,2637103
5,32339688,,1Z3969A26898170696,UPS,2637119
6,32339720,,1Z3969A26890870140,UPS,2637311
7,32339759,,1Z3969A26896579008,UPS,2637335
8,32339760,,1Z3969A26898003018,UPS,2637371
9,32339761,,1Z3969A26897843023,UPS,2637325
10,32339763,,1Z3969A26895171048,UPS,BMP151120003
11,32339773,,1Z3969A26891737873,UPS,2637409
