,Unnamed: 0,Zeitraum vom: 07.01.2020 bis:  07.01.2020,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,,,,,
2,LS NR,,Sendreferenz NR,Frachtführer,BESTELL NR
3,32337901,,1Z3969A26891837701,UPS,2630591
4,32337905,,1Z3969A26891816322,UPS,2630577
5,32337906,,1Z3969A26893864535,UPS,2630587
6,32337907,,1Z3969A26892373344,UPS,2630528
7,32337908,,1Z3969A26893458751,UPS,2630550
8,32337973,,1Z3969A26892077978,UPS,2630805
9,32337997,,1Z3969A26897960996,UPS,2630820
10,32338005,,1Z3969A26893208468,UPS,2630855
11,32338006,,1Z3969A26892497078,UPS,2630859
12,32338015,,1Z3969A26897689030,UPS,2630890
13,32338046,,1Z3969A26893294660,UPS,2630926
