,Unnamed: 0,Zeitraum vom: 25.11.2019 bis:  25.11.2019,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,,,,,
2,LS NR,,Sendreferenz NR,Frachtführer,BESTELL NR
3,32332828,,1Z3969A26895502636,UPS,2610108
4,32332870,,1Z3969A26891338536,UPS,2609901
5,32332871,,1Z3969A26892487347,UPS,2609448
6,32332907,,1Z3969A26891202593,UPS,BMP150220001
7,32332920,,1Z3969A26892126727,UPS,2610138
8,32332953,,1Z3969A26893951404,UPS,2610210
9,32332954,,1Z3969A26897903100,UPS,2610175
10,32332955,,1Z3969A26897887110,UPS,2610179
11,32332983,,1Z3969A26897935246,UPS,2610223
12,32333058,,1Z3969A26894813598,UPS,2610321
