,Unnamed: 0,Zeitraum vom: 03.01.2020 bis:  03.01.2020,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,,,,,
2,LS NR,,Sendreferenz NR,Frachtführer,BESTELL NR
3,32337516,,1Z3969A26892652800,UPS,2629053
4,32337517,,1Z3969A26894073816,UPS,2629101
5,32337526,,1Z3969A26897958749,UPS,2629051
6,32337527,,1Z3969A26896966750,UPS,2629044
7,32337535,,1Z3969A26895806835,UPS,2629076
8,32337555,,1Z3969A26893866597,UPS,2629512
9,32337559,,1Z3969A26894807836,UPS,2629529
10,32337571,,1Z3969A26890510725,UPS,2629437
11,32337579,,1Z3969A26895630962,UPS,BMP150760025
12,32337580,,1Z3969A26895190974,UPS,2629454
13,32337586,,1Z3969A26890526218,UPS,2629478
14,32337588,,1Z3969A26891738032,UPS,2629534
15,32337612,,1Z3969A26898647056,UPS,2629604
16,32337614,,1Z3969A26895671070,UPS,2629624
17,32337617,,1Z3969A26895327102,UPS,2629606
