,Unnamed: 0,Zeitraum vom: 30.12.2019 bis:  30.12.2019,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,,,,,
2,LS NR,,Sendreferenz NR,Frachtführer,BESTELL NR
3,32336837,,1Z3969A26892538130,UPS,2626948
4,32336839,,1Z3969A26890284355,UPS,2626889
5,32336840,,1Z3969A26894838366,UPS,2626936
6,32336841,,1Z3969A26890840977,UPS,2626921
7,32336842,,1Z3969A26894088186,UPS,2626838
8,32336845,,1Z3969A26894257412,UPS,2626912
9,32336846,,1Z3969A26890643029,UPS,BMP150680006
10,32336848,,1Z3969A26890444048,UPS,2626827
11,32336849,,1Z3969A26892331451,UPS,2626778
12,32336853,,1Z3969A26891367095,UPS,2626075
13,32336854,,1Z3969A26892077503,UPS,2626342
14,32336855,,1Z3969A26893740516,UPS,2626045
15,32336856,,1Z3969A26890592129,UPS,2626113
16,32336857,,1Z3969A26894828331,UPS,2626809
17,32336858,,1Z3969A26892205141,UPS,2626070
18,32336859,,1Z3969A26893638557,UPS,2625995
19,32336860,,1Z3969A26892804566,UPS,2626055
20,32336861,,1Z3969A26894739179,UPS,2626312
21,32336948,,1Z3969A26893371406,UPS,2626998
22,32336949,,1Z3969A26892788414,UPS,2627034
23,32336950,,1Z3969A26890834028,UPS,2627265
24,32336951,,1Z3969A26893104230,UPS,2627281
25,32336952,,1Z3969A26892755048,UPS,2626974
26,32336953,,1Z3969A26892102458,UPS,2627002
27,32336955,,1Z3969A26891551073,UPS,2627241
28,32336956,,1Z3969A26890484282,UPS,2627193
29,32336957,,1Z3969A26891978096,UPS,2627174
30,32336958,,1Z3969A26893148505,UPS,2627211
31,32336959,,1Z3969A26890871514,UPS,2627165
32,32336960,,1Z3969A26890383122,UPS,2627229
33,32336986,,1Z3969A26890154487,UPS,2626952
34,32336987,,1Z3969A26893020295,UPS,2626969
35,32336988,,1Z3969A26890482702,UPS,2627011
36,32336989,,1Z3969A26890617718,UPS,2627023
37,32337038,,1Z3969A26894445058,UPS,2627201
38,32337041,,1Z3969A26893214880,UPS,2627262
39,32337105,,1Z3969A26899804900,UPS,2626994
40,32337107,,1Z3969A26897948929,UPS,2626866
41,32337119,,1Z3969A26892622977,UPS,2627798
42,32337120,,1Z3969A26893390181,UPS,2627824
43,32337121,,1Z3969A26893957999,UPS,2627815
44,32337122,,1Z3969A26892842408,UPS,2627822
45,32337123,,1Z3969A26892319411,UPS,2627807
46,32337124,,1Z3969A26892025023,UPS,2627786
47,32337137,,1Z3969A26898964981,UPS,2627797
48,32337141,,1Z3969A26891027149,UPS,2627779
49,32337143,,1Z3969A26891666566,UPS,2627852
50,32337172,,1Z3969A26892105482,UPS,2627879
51,32337173,,1Z3969A26892831296,UPS,2627835
52,32337244,,1Z3969A26895109366,UPS,2627936
53,32337245,,1Z3969A26895109375,UPS,2627960
54,32337246,,1Z3969A26895125384,UPS,2627971
