,Unnamed: 0,Zeitraum vom: 15.01.2020 bis:  15.01.2020,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,,,,,
1,,,,,
2,LS NR,,Sendreferenz NR,Frachtführer,BESTELL NR
3,32338851,,1Z3969A26898765848,UPS,2634773
4,32338852,,1Z3969A26899133859,UPS,2634988
5,32338861,,1Z3969A26894664482,UPS,2634928
6,32338865,,1Z3969A26897157926,UPS,BMP150960008
7,32338868,,1Z3969A26896693956,UPS,2635004
8,32338915,,1Z3969A26897454186,UPS,2629833
9,32338916,,1Z3969A26899166190,UPS,BMP150940036
10,32338959,,1Z3969A26896198474,UPS,2635325
11,32338962,,1Z3969A26899374509,UPS,2631275
12,32338981,,1Z3969A26895814906,UPS,2635384
13,32338983,,1Z3969A26892252742,UPS,2635398
14,32338990,,1Z3969A26892389980,UPS,BMP150940051
15,32339016,,1Z3969A26895455054,UPS,BMP150900041
